rest,scr,id
9.36,L2 B2 L D2 R2 D2 U2 B2 D2 R2 F L' U L2 B D B U2 R ,138
9.37,F2 U2 R' B2 L' B2 F2 L' U2 L2 U L' F' L2 U F2 L2 F D2 ,139
9.38,U' B' D L B' D F2 L F U' L2 U R2 B2 U F2 R2 D' B2 D' ,140
9.39,R2 U2 R2 D2 F U2 B U2 R2 U F' L' U B2 D2 U R U B2 ,141
9.39,F R2 D2 B' L2 D2 B2 U2 F R2 U2 L' U R2 F L2 U' R' F' L2 U' ,142
9.39,R B2 L2 F2 U2 L2 U2 R' F L' F2 L' B' D U B' F L2 ,143
9.39,B2 R' B2 R2 B2 R' D2 U2 L F U L U2 L2 B' F R F D F2 ,144
9.4,R D' F U' B2 D F L U2 F' L2 U2 B2 D2 F R2 F L2 ,145
9.4,F2 L2 U2 F2 R U2 F2 R' D2 B2 F' R2 F' U' L2 F' U F2 ,146
9.41,D2 R' D2 L D2 R B2 L2 B2 R F2 U B2 D B' D' B2 D' L' F R2 ,147
9.42,L2 D B2 U2 R2 D U' F2 R2 F' U L' D' B F L' D2 F' U F2 ,148
9.42,F' D2 B' U2 F' U2 B' R2 B F' D R D2 B' D' R' U L D' U ,149
9.43,F2 L2 B2 L2 U2 R2 F' U2 B' L2 R D R2 F' D L2 B L' F' R ,150
9.43,U R2 D2 B2 U' R2 D L2 R2 B D L' F' U' R' B D2 U' R D ,151
9.44,L2 B2 U' L2 B2 F2 D2 U' F2 R' D2 L' D' F U F R U' F2 R2 ,152
9.44,D B2 D U' F2 R2 U F2 U B L2 F R2 B R' D2 R2 D' L' F ,153
9.44,U F2 R2 B2 U2 R2 D L2 D' L' D B2 U2 F' L2 U' R' D2 F L' R' ,154
9.44,B2 U R2 B2 D R2 D R2 F2 U F2 L' U2 F R2 B' L' B' U2 B' R ,155
9.44,L2 F D2 F R2 B' L2 F2 D2 L' D L B L U' L' U F' L2 ,156
9.44,U2 L2 D L2 R2 B2 L2 D' L B' R' D' B2 U2 R2 D2 L' D2 U' ,157
9.45,R D' R F' R2 L' D2 B R B L2 F2 D2 L2 U2 B D2 B2 L2 D2 ,158
9.46,R' U R U F U R D' F' U2 B2 R' U2 L' U2 F2 L' D2 F2 D2 ,159
9.46,R2 F2 R' B2 D2 R D2 R' U2 R2 F' L2 R2 U2 F' U R2 U2 B R B' ,160
9.46,R2 L B R F L2 D2 B' L2 D' B' R2 F2 U2 B D2 B' R2 U2 ,161
9.46,B U2 B R2 B D2 R2 F2 L2 U2 B2 R' F D B L R2 B' D' R2 F2 ,162
9.47,F2 D' L2 F2 U2 L2 B2 U' F L F L R B R2 U2 B U' R ,163
9.47,R B2 D2 B2 R U2 R U F B' U2 R2 L2 D F2 D R2 U D ,164
9.47,B D2 F' D2 F' D2 F' D2 L U R2 F D R' U' B' L' F2 U ,165
9.49,U' B2 D' B' U2 L U2 L B' U' L2 B2 L2 D2 F2 U' B2 D L2 U2 ,166
9.49,F2 B U R F L U2 D' L' B R' F2 R' L F2 U2 F2 U2 L2 B2 ,167
9.49,U2 L2 F U2 F2 D2 B' L2 R2 U L2 F' D L' R' F' D2 F2 D' R' ,168
9.51,R U' D F' D B' D2 L2 U' B D2 L F2 R' B2 L B2 L2 F2 R' ,169
9.51,U2 R' L B' U2 D B' L F R2 U2 L2 F2 U2 D2 L' F2 L D2 ,170
9.51,U2 L2 D F2 D U R2 U' B2 R U2 R D F' U' L2 R2 F' R2 ,171
9.51,F U' R2 B' R' F2 R' F2 B D L D2 R F2 U2 R' F2 ,172
9.51,U B2 L2 D2 R2 D R2 F2 U' F L' U' L2 R' D U R' B2 L ,173
9.52,F U2 B L2 D2 F D2 B2 L' F U2 B D' L F2 D2 L2 B2 U' ,174
9.52,D2 R2 D2 R2 B2 F' L2 D2 U L R F L U L D' L2 R D ,175
9.53,D2 L F2 D2 F2 L' B2 L U2 R U R D2 U R' B' U2 F' L' ,176
9.53,U F2 U' L2 U' R2 D2 F2 L2 U R' U' B2 R B2 F L' B' R' F2 U2 ,177
9.54,U L D R D' B' U2 F' D2 F B2 R F2 R L F2 D2 L2 F2 ,178
9.54,R2 F B D' F2 L D2 L' D' L2 F R2 B U2 F L2 B D2 ,179
9.54,L' F D R' D' B R B2 L U2 B2 U2 B2 U F2 D' L2 D2 F2 U ,180
9.54,R F2 U2 L2 F2 L R2 D2 U2 B D R D2 L D R2 B D' R' ,181
9.54,D F' L' U' L2 U D' R' F' R2 L2 B2 U' F2 L2 D' L2 U R2 U' ,182
9.55,F2 R D' L2 F D' B' L' U R F R2 U L2 U' F2 U2 F2 R2 F2 ,183
9.56,U2 L2 F U2 F' L2 B2 D2 U2 B D U2 R' D2 F' L F' R U R' F' ,184
9.56,D2 R D2 L B' L2 B2 R B' U' R' L' D2 L F2 L2 F2 D2 B2 ,185
9.56,F2 L2 B' D2 B2 U2 R2 U2 L2 B' U2 R' D B' L' U2 L2 D L D L ,186
9.56,L' B U' D F U F' D2 L' F' L D2 R' U2 F2 U2 F2 L U2 D2 ,187
9.56,F U' L F' D' R2 B' U2 L U F D2 F2 D2 B' D2 B U2 B ,188
9.56,R L' U' F2 D2 B' L F2 R' F D R2 U' B2 R2 D2 L2 D B2 ,189
9.57,B L2 U2 B' R2 U2 R2 B U' B2 F U L U B L' D' U F2 ,190
9.58,D2 B2 R2 F2 L2 D B2 U R B L' R' D2 B L F U B F ,191
9.58,R F2 R' B2 L D2 B2 U2 F2 U2 R2 B' L2 D B' D2 L2 U2 L2 ,192
9.59,B L2 R2 B' D2 L2 B2 U2 B' D2 R' D' B L' B2 U B' D B' F2 ,193
9.59,F2 D U2 R2 U2 F2 U B2 U F' D R B2 R' U' L' B F' U' L' R2 ,194
9.59,D2 R2 U2 B' R2 B' D2 F L B L2 D' U2 R F D' U2 L' D ,195
9.59,U' R' F2 R' U' R' B R' L' F D2 L2 B2 U2 F2 U2 L2 D' B2 L2 ,196
9.59,F' R' U2 D L U' F R D R U2 D2 L U2 D2 R F2 B2 D2 ,197
9.61,F' R2 B2 D2 U2 B' R2 F' R2 F' L' U F' L' D U2 L F D' R ,198
9.61,U2 F2 D2 L2 F2 L' U2 R B2 R2 B U F' D2 B F2 L B' L' D2 ,199
9.61,F L2 D2 R B2 L D' F B' U' F B U2 B U2 R2 F' D2 L2 U2 D2 ,200
9.61,F2 U2 B D2 F R2 B2 U2 L2 U L2 B L' F' R B2 D L D' L' ,201
9.61,U2 D' L' F2 R' F' L2 D' L F' R L F2 R2 B2 U2 B2 L F2 L' ,202
9.61,F' L2 B' R D L2 B2 D R' B' U' B2 D' R2 U R2 B2 L2 B2 U2 ,203
9.62,B U' D2 B2 L2 D L2 F' R U F2 U2 F2 R2 U L2 F2 D R2 D2 ,204
9.62,B2 L2 D2 F2 U R2 D L2 U' F D R F' L B D' B2 D2 B' F2 ,205
9.62,R2 D' B2 L2 F2 D' R2 U L D U F R F2 D2 F2 U' B R ,206
9.62,D2 R2 U2 F2 R2 U' L2 D2 B F' D' R' B' U2 L' D' R' U2 ,207
9.63,D2 F' D' L2 F2 U' L' U2 B U F B' D2 F U2 B2 R2 L2 U2 L2 ,208
9.63,B2 L2 B D2 R2 B R2 B2 U' F D' F2 L2 D' L B' L ,209
9.64,R2 F2 U2 L F' L2 U2 R F2 D' R D2 R' L' B2 R D2 R2 U2 ,210
9.64,L U2 L R2 U2 R' B2 D2 B U' R2 F L U2 F2 D' F2 U' B' ,211
9.64,L2 R2 B' R2 B2 F D2 U2 L' U2 L2 R U' L B' R2 F2 L B ,212
9.64,F' D2 U2 B U2 L2 F' L2 B' F L' D' L2 F' U B R B' D B ,213
9.64,B' U2 B2 R2 F D2 F2 L2 D2 F D L' D2 F' L' F' D F R2 D ,214
9.64,R2 F R' B2 L B U F R' F2 R2 D F2 B2 R2 D' F2 U2 B2 ,215
9.65,U B' R D2 F2 L2 F' B L' U' F U2 B' D2 F U2 R2 B R2 B ,216
9.65,D2 B U2 F L2 B' R2 U2 L2 B2 L B U' B' F2 L D2 U2 R' B ,217
9.66,D' B R' D B L' B2 D F R' F2 U2 F2 B2 R2 B' U2 B2 L2 U2 ,218
9.66,D2 B' D2 R2 D2 L2 F' L2 F2 L' F' D U2 B F2 U' L2 U2 L D2 ,219
